day,day_code,phase_number,phase,mode,topic,difficulty,estimated_time_hours,tools,objective,required_submission
1,DAY_001,1,"Safety, Etiquette, and Equipment Orientation",Orientation and setup,Communications Safety and Etiquette,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom equipment | PPE | battery/charger tools | checklists,"Inspect assigned intercom equipment, establish professional call etiquette, verify primary and backup talk paths, and document custody and battery controls.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
12,DAY_012,2,Communication Systems Fundamentals,Concept development,Simplex Half-Duplex And Full-Duplex — Applied Baseline Lab,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wired intercom | diagramming tools | headsets | cable tester,"Complete a supervised applied lab for simplex half-duplex and full-duplex, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
13,DAY_013,2,Communication Systems Fundamentals,Guided laboratory,Partyline Matrix And Point-To-Point — Architecture and Components,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wired intercom | diagramming tools | headsets | cable tester,"Explain and demonstrate partyline matrix and point-to-point through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
14,DAY_014,2,Communication Systems Fundamentals,Guided laboratory,Partyline Matrix And Point-To-Point — Configuration Lab,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wired intercom | diagramming tools | headsets | cable tester,"Complete a supervised applied lab for partyline matrix and point-to-point, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
15,DAY_015,2,Communication Systems Fundamentals,Applied practice,Two-Wire Four-Wire And Ip Audio — Design and Technique,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wired intercom | diagramming tools | headsets | cable tester,"Explain and demonstrate two-wire four-wire and IP audio through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
16,DAY_016,2,Communication Systems Fundamentals,Operations and measurement,Two-Wire Four-Wire And Ip Audio — Operations and Measurement,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wired intercom | diagramming tools | headsets | cable tester,"Complete a supervised applied lab for two-wire four-wire and IP audio, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
17,DAY_017,2,Communication Systems Fundamentals,Troubleshooting laboratory,Sidetone Nulling And Level Concepts — Troubleshooting and Failure Modes,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wired intercom | diagramming tools | headsets | cable tester,"Explain and demonstrate sidetone nulling and level concepts through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
18,DAY_018,2,Communication Systems Fundamentals,Safety and quality review,"Sidetone Nulling And Level Concepts — Safety, Quality, and Verification",foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wired intercom | diagramming tools | headsets | cable tester,"Complete a supervised applied lab for sidetone nulling and level concepts, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
19,DAY_019,2,Communication Systems Fundamentals,Integration and documentation,"Communication Systems Fundamentals — Integration, Documentation, and Handover",foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wired intercom | diagramming tools | headsets | cable tester,"Integrate the four communication systems fundamentals skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
20,DAY_020,2,Communication Systems Fundamentals,Assessment and presentation,Communication Systems Fundamentals — Assessment Project,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wired intercom | diagramming tools | headsets | cable tester,"Plan, execute, verify, present, and safely close an assessment project covering the complete communication systems fundamentals phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
21,DAY_021,3,"Cables, Connectors, and Patch Practice",Orientation and setup,Xlr Pinouts And Intercom Cabling — Foundations and Vocabulary,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | intercom cables | cable tester | label tools | PPE,"Explain and demonstrate XLR pinouts and intercom cabling through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
22,DAY_022,3,"Cables, Connectors, and Patch Practice",Concept development,Xlr Pinouts And Intercom Cabling — Applied Baseline Lab,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | intercom cables | cable tester | label tools | PPE,"Complete a supervised applied lab for XLR pinouts and intercom cabling, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
23,DAY_023,3,"Cables, Connectors, and Patch Practice",Guided laboratory,Ethernet Fiber And Adapter Identification — Architecture and Components,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | intercom cables | cable tester | label tools | PPE,"Explain and demonstrate Ethernet fiber and adapter identification through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
24,DAY_024,3,"Cables, Connectors, and Patch Practice",Guided laboratory,Ethernet Fiber And Adapter Identification — Configuration Lab,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | intercom cables | cable tester | label tools | PPE,"Complete a supervised applied lab for Ethernet fiber and adapter identification, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
25,DAY_025,3,"Cables, Connectors, and Patch Practice",Applied practice,Labeling Strain Relief And Cable Care — Design and Technique,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | intercom cables | cable tester | label tools | PPE,"Explain and demonstrate labeling strain relief and cable care through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
26,DAY_026,3,"Cables, Connectors, and Patch Practice",Operations and measurement,Labeling Strain Relief And Cable Care — Operations and Measurement,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | intercom cables | cable tester | label tools | PPE,"Complete a supervised applied lab for labeling strain relief and cable care, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
27,DAY_027,3,"Cables, Connectors, and Patch Practice",Troubleshooting laboratory,Continuity Polarity And Fault Isolation — Troubleshooting and Failure Modes,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | intercom cables | cable tester | label tools | PPE,"Explain and demonstrate continuity polarity and fault isolation through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
28,DAY_028,3,"Cables, Connectors, and Patch Practice",Safety and quality review,"Continuity Polarity And Fault Isolation — Safety, Quality, and Verification",foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | intercom cables | cable tester | label tools | PPE,"Complete a supervised applied lab for continuity polarity and fault isolation, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
29,DAY_029,3,"Cables, Connectors, and Patch Practice",Integration and documentation,"Cables, Connectors, and Patch Practice — Integration, Documentation, and Handover",foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | intercom cables | cable tester | label tools | PPE,"Integrate the four cables, connectors, and patch practice skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
30,DAY_030,3,"Cables, Connectors, and Patch Practice",Assessment and presentation,"Cables, Connectors, and Patch Practice — Assessment Project",foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | intercom cables | cable tester | label tools | PPE,"Plan, execute, verify, present, and safely close an assessment project covering the complete cables, connectors, and patch practice phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
31,DAY_031,4,Wired Partyline Systems,Orientation and setup,Power Supplies And Station Loading — Foundations and Vocabulary,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wired partyline system | beltpacks | headsets | multimeter where approved,"Explain and demonstrate power supplies and station loading through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
32,DAY_032,4,Wired Partyline Systems,Concept development,Power Supplies And Station Loading — Applied Baseline Lab,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wired partyline system | beltpacks | headsets | multimeter where approved,"Complete a supervised applied lab for power supplies and station loading, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
33,DAY_033,4,Wired Partyline Systems,Guided laboratory,Channels Beltpacks And Call Signaling — Architecture and Components,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wired partyline system | beltpacks | headsets | multimeter where approved,"Explain and demonstrate channels beltpacks and call signaling through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
34,DAY_034,4,Wired Partyline Systems,Guided laboratory,Channels Beltpacks And Call Signaling — Configuration Lab,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wired partyline system | beltpacks | headsets | multimeter where approved,"Complete a supervised applied lab for channels beltpacks and call signaling, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
35,DAY_035,4,Wired Partyline Systems,Applied practice,Terminations Isolation And Hum — Design and Technique,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wired partyline system | beltpacks | headsets | multimeter where approved,"Explain and demonstrate terminations isolation and hum through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
36,DAY_036,4,Wired Partyline Systems,Operations and measurement,Terminations Isolation And Hum — Operations and Measurement,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wired partyline system | beltpacks | headsets | multimeter where approved,"Complete a supervised applied lab for terminations isolation and hum, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
37,DAY_037,4,Wired Partyline Systems,Troubleshooting laboratory,Deployment Testing And Backup Paths — Troubleshooting and Failure Modes,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wired partyline system | beltpacks | headsets | multimeter where approved,"Explain and demonstrate deployment testing and backup paths through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
38,DAY_038,4,Wired Partyline Systems,Safety and quality review,"Deployment Testing And Backup Paths — Safety, Quality, and Verification",foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wired partyline system | beltpacks | headsets | multimeter where approved,"Complete a supervised applied lab for deployment testing and backup paths, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
39,DAY_039,4,Wired Partyline Systems,Integration and documentation,"Wired Partyline Systems — Integration, Documentation, and Handover",foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wired partyline system | beltpacks | headsets | multimeter where approved,"Integrate the four wired partyline systems skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
40,DAY_040,4,Wired Partyline Systems,Assessment and presentation,Wired Partyline Systems — Assessment Project,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wired partyline system | beltpacks | headsets | multimeter where approved,"Plan, execute, verify, present, and safely close an assessment project covering the complete wired partyline systems phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
41,DAY_041,5,Wireless Intercom Fundamentals,Orientation and setup,Radio Spectrum Channels And Coordination — Foundations and Vocabulary,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wireless intercom | spectrum/coordination tools | antennas | battery tools,"Explain and demonstrate radio spectrum channels and coordination through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
42,DAY_042,5,Wireless Intercom Fundamentals,Concept development,Radio Spectrum Channels And Coordination — Applied Baseline Lab,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wireless intercom | spectrum/coordination tools | antennas | battery tools,"Complete a supervised applied lab for radio spectrum channels and coordination, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
43,DAY_043,5,Wireless Intercom Fundamentals,Guided laboratory,Base Stations Antennas And Coverage — Architecture and Components,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wireless intercom | spectrum/coordination tools | antennas | battery tools,"Explain and demonstrate base stations antennas and coverage through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
44,DAY_044,5,Wireless Intercom Fundamentals,Guided laboratory,Base Stations Antennas And Coverage — Configuration Lab,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wireless intercom | spectrum/coordination tools | antennas | battery tools,"Complete a supervised applied lab for base stations antennas and coverage, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
45,DAY_045,5,Wireless Intercom Fundamentals,Applied practice,Beltpack Pairing Groups And Permissions — Design and Technique,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wireless intercom | spectrum/coordination tools | antennas | battery tools,"Explain and demonstrate beltpack pairing groups and permissions through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
46,DAY_046,5,Wireless Intercom Fundamentals,Operations and measurement,Beltpack Pairing Groups And Permissions — Operations and Measurement,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wireless intercom | spectrum/coordination tools | antennas | battery tools,"Complete a supervised applied lab for beltpack pairing groups and permissions, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
47,DAY_047,5,Wireless Intercom Fundamentals,Troubleshooting laboratory,Battery Runtime Interference And Roaming — Troubleshooting and Failure Modes,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wireless intercom | spectrum/coordination tools | antennas | battery tools,"Explain and demonstrate battery runtime interference and roaming through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
48,DAY_048,5,Wireless Intercom Fundamentals,Safety and quality review,"Battery Runtime Interference And Roaming — Safety, Quality, and Verification",foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wireless intercom | spectrum/coordination tools | antennas | battery tools,"Complete a supervised applied lab for battery runtime interference and roaming, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
49,DAY_049,5,Wireless Intercom Fundamentals,Integration and documentation,"Wireless Intercom Fundamentals — Integration, Documentation, and Handover",foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wireless intercom | spectrum/coordination tools | antennas | battery tools,"Integrate the four wireless intercom fundamentals skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
50,DAY_050,5,Wireless Intercom Fundamentals,Assessment and presentation,Wireless Intercom Fundamentals — Assessment Project,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | wireless intercom | spectrum/coordination tools | antennas | battery tools,"Plan, execute, verify, present, and safely close an assessment project covering the complete wireless intercom fundamentals phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
51,DAY_051,6,Matrix Intercom Concepts,Orientation and setup,Ports Panels Keys And Labels — Foundations and Vocabulary,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | matrix intercom/simulator | configuration software | panels | documentation,"Explain and demonstrate ports panels keys and labels through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
52,DAY_052,6,Matrix Intercom Concepts,Concept development,Ports Panels Keys And Labels — Applied Baseline Lab,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | matrix intercom/simulator | configuration software | panels | documentation,"Complete a supervised applied lab for ports panels keys and labels, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
53,DAY_053,6,Matrix Intercom Concepts,Guided laboratory,Crosspoints Conferences And Ifbs — Architecture and Components,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | matrix intercom/simulator | configuration software | panels | documentation,"Explain and demonstrate crosspoints conferences and IFBs through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
54,DAY_054,6,Matrix Intercom Concepts,Guided laboratory,Crosspoints Conferences And Ifbs — Configuration Lab,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | matrix intercom/simulator | configuration software | panels | documentation,"Complete a supervised applied lab for crosspoints conferences and IFBs, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
55,DAY_055,6,Matrix Intercom Concepts,Applied practice,Roles Permissions And Configuration Backups — Design and Technique,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | matrix intercom/simulator | configuration software | panels | documentation,"Explain and demonstrate roles permissions and configuration backups through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
56,DAY_056,6,Matrix Intercom Concepts,Operations and measurement,Roles Permissions And Configuration Backups — Operations and Measurement,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | matrix intercom/simulator | configuration software | panels | documentation,"Complete a supervised applied lab for roles permissions and configuration backups, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
57,DAY_057,6,Matrix Intercom Concepts,Troubleshooting laboratory,Logic Triggers And Control Interfaces — Troubleshooting and Failure Modes,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | matrix intercom/simulator | configuration software | panels | documentation,"Explain and demonstrate logic triggers and control interfaces through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
58,DAY_058,6,Matrix Intercom Concepts,Safety and quality review,"Logic Triggers And Control Interfaces — Safety, Quality, and Verification",foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | matrix intercom/simulator | configuration software | panels | documentation,"Complete a supervised applied lab for logic triggers and control interfaces, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
59,DAY_059,6,Matrix Intercom Concepts,Integration and documentation,"Matrix Intercom Concepts — Integration, Documentation, and Handover",foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | matrix intercom/simulator | configuration software | panels | documentation,"Integrate the four matrix intercom concepts skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
60,DAY_060,6,Matrix Intercom Concepts,Assessment and presentation,Matrix Intercom Concepts — Assessment Project,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | matrix intercom/simulator | configuration software | panels | documentation,"Plan, execute, verify, present, and safely close an assessment project covering the complete matrix intercom concepts phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
61,DAY_061,7,IP Intercom and Network Audio,Orientation and setup,Ip Addressing Vlan And Qos Concepts — Foundations and Vocabulary,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | IP intercom equipment | managed switch lab | laptop software | packet capture,"Explain and demonstrate IP addressing VLAN and QoS concepts through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
62,DAY_062,7,IP Intercom and Network Audio,Concept development,Ip Addressing Vlan And Qos Concepts — Applied Baseline Lab,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | IP intercom equipment | managed switch lab | laptop software | packet capture,"Complete a supervised applied lab for IP addressing VLAN and QoS concepts, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
63,DAY_063,7,IP Intercom and Network Audio,Guided laboratory,Device Discovery Synchronization And Multicast — Architecture and Components,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | IP intercom equipment | managed switch lab | laptop software | packet capture,"Explain and demonstrate device discovery synchronization and multicast through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
64,DAY_064,7,IP Intercom and Network Audio,Guided laboratory,Device Discovery Synchronization And Multicast — Configuration Lab,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | IP intercom equipment | managed switch lab | laptop software | packet capture,"Complete a supervised applied lab for device discovery synchronization and multicast, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
65,DAY_065,7,IP Intercom and Network Audio,Applied practice,Network Redundancy And Latency — Design and Technique,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | IP intercom equipment | managed switch lab | laptop software | packet capture,"Explain and demonstrate network redundancy and latency through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
66,DAY_066,7,IP Intercom and Network Audio,Operations and measurement,Network Redundancy And Latency — Operations and Measurement,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | IP intercom equipment | managed switch lab | laptop software | packet capture,"Complete a supervised applied lab for network redundancy and latency, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
