day,day_code,phase_number,phase,mode,topic,difficulty,estimated_time_hours,tools,objective,required_submission
1,DAY_001,1,Electrical and Working-at-Height Safety,Orientation and setup,Electrical and Working-at-Height Safety,foundation,8,Beyond fixtures and controllers | free visualizer software | PPE | approved rigging hardware | multimeter where authorized | checklists,"Complete a supervised PPE, electrical, rigging-hardware, working-at-height, and exclusion-zone readiness check before any fixture is energized or suspended.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
12,DAY_012,2,Lighting Fundamentals and Photometrics,Concept development,Light Intensity Illuminance And Distance — Applied Baseline Lab,foundation,8,Beyond fixtures and controllers | free visualizer software | fixtures | lux meter | color tools where available | visualizer,"Complete a supervised applied lab for light intensity illuminance and distance, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
13,DAY_013,2,Lighting Fundamentals and Photometrics,Guided laboratory,Color Temperature Cri And Spectrum — Architecture and Components,foundation,8,Beyond fixtures and controllers | free visualizer software | fixtures | lux meter | color tools where available | visualizer,"Explain and demonstrate color temperature CRI and spectrum through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
14,DAY_014,2,Lighting Fundamentals and Photometrics,Guided laboratory,Color Temperature Cri And Spectrum — Configuration Lab,foundation,8,Beyond fixtures and controllers | free visualizer software | fixtures | lux meter | color tools where available | visualizer,"Complete a supervised applied lab for color temperature CRI and spectrum, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
15,DAY_015,2,Lighting Fundamentals and Photometrics,Applied practice,Beam Field Angle And Distribution — Design and Technique,foundation,8,Beyond fixtures and controllers | free visualizer software | fixtures | lux meter | color tools where available | visualizer,"Explain and demonstrate beam field angle and distribution through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
16,DAY_016,2,Lighting Fundamentals and Photometrics,Operations and measurement,Beam Field Angle And Distribution — Operations and Measurement,foundation,8,Beyond fixtures and controllers | free visualizer software | fixtures | lux meter | color tools where available | visualizer,"Complete a supervised applied lab for beam field angle and distribution, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
17,DAY_017,2,Lighting Fundamentals and Photometrics,Troubleshooting laboratory,Measurement Documentation And Visual Perception — Troubleshooting and Failure Modes,foundation,8,Beyond fixtures and controllers | free visualizer software | fixtures | lux meter | color tools where available | visualizer,"Explain and demonstrate measurement documentation and visual perception through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
18,DAY_018,2,Lighting Fundamentals and Photometrics,Safety and quality review,"Measurement Documentation And Visual Perception — Safety, Quality, and Verification",foundation,8,Beyond fixtures and controllers | free visualizer software | fixtures | lux meter | color tools where available | visualizer,"Complete a supervised applied lab for measurement documentation and visual perception, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
19,DAY_019,2,Lighting Fundamentals and Photometrics,Integration and documentation,"Lighting Fundamentals and Photometrics — Integration, Documentation, and Handover",foundation,8,Beyond fixtures and controllers | free visualizer software | fixtures | lux meter | color tools where available | visualizer,"Integrate the four lighting fundamentals and photometrics skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
20,DAY_020,2,Lighting Fundamentals and Photometrics,Assessment and presentation,Lighting Fundamentals and Photometrics — Assessment Project,foundation,8,Beyond fixtures and controllers | free visualizer software | fixtures | lux meter | color tools where available | visualizer,"Plan, execute, verify, present, and safely close an assessment project covering the complete lighting fundamentals and photometrics phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
21,DAY_021,3,Fixtures and Optics,Orientation and setup,Conventional Fresnel Profile And Par — Foundations and Vocabulary,foundation,8,Beyond fixtures and controllers | free visualizer software | Beyond fixtures | optical accessories | PPE | maintenance tools,"Explain and demonstrate conventional Fresnel profile and PAR through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
22,DAY_022,3,Fixtures and Optics,Concept development,Conventional Fresnel Profile And Par — Applied Baseline Lab,foundation,8,Beyond fixtures and controllers | free visualizer software | Beyond fixtures | optical accessories | PPE | maintenance tools,"Complete a supervised applied lab for conventional Fresnel profile and PAR, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
23,DAY_023,3,Fixtures and Optics,Guided laboratory,Led Wash Spot Beam And Hybrid Fixtures — Architecture and Components,foundation,8,Beyond fixtures and controllers | free visualizer software | Beyond fixtures | optical accessories | PPE | maintenance tools,"Explain and demonstrate LED wash spot beam and hybrid fixtures through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
24,DAY_024,3,Fixtures and Optics,Guided laboratory,Led Wash Spot Beam And Hybrid Fixtures — Configuration Lab,foundation,8,Beyond fixtures and controllers | free visualizer software | Beyond fixtures | optical accessories | PPE | maintenance tools,"Complete a supervised applied lab for LED wash spot beam and hybrid fixtures, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
25,DAY_025,3,Fixtures and Optics,Applied practice,Lenses Shutters Gobos And Diffusion — Design and Technique,foundation,8,Beyond fixtures and controllers | free visualizer software | Beyond fixtures | optical accessories | PPE | maintenance tools,"Explain and demonstrate lenses shutters gobos and diffusion through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
26,DAY_026,3,Fixtures and Optics,Operations and measurement,Lenses Shutters Gobos And Diffusion — Operations and Measurement,foundation,8,Beyond fixtures and controllers | free visualizer software | Beyond fixtures | optical accessories | PPE | maintenance tools,"Complete a supervised applied lab for lenses shutters gobos and diffusion, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
27,DAY_027,3,Fixtures and Optics,Troubleshooting laboratory,Fixture Inspection Cooling And Safe Handling — Troubleshooting and Failure Modes,foundation,8,Beyond fixtures and controllers | free visualizer software | Beyond fixtures | optical accessories | PPE | maintenance tools,"Explain and demonstrate fixture inspection cooling and safe handling through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
28,DAY_028,3,Fixtures and Optics,Safety and quality review,"Fixture Inspection Cooling And Safe Handling — Safety, Quality, and Verification",foundation,8,Beyond fixtures and controllers | free visualizer software | Beyond fixtures | optical accessories | PPE | maintenance tools,"Complete a supervised applied lab for fixture inspection cooling and safe handling, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
29,DAY_029,3,Fixtures and Optics,Integration and documentation,"Fixtures and Optics — Integration, Documentation, and Handover",foundation,8,Beyond fixtures and controllers | free visualizer software | Beyond fixtures | optical accessories | PPE | maintenance tools,"Integrate the four fixtures and optics skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
30,DAY_030,3,Fixtures and Optics,Assessment and presentation,Fixtures and Optics — Assessment Project,foundation,8,Beyond fixtures and controllers | free visualizer software | Beyond fixtures | optical accessories | PPE | maintenance tools,"Plan, execute, verify, present, and safely close an assessment project covering the complete fixtures and optics phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
31,DAY_031,4,Power Distribution,Orientation and setup,Single And Three-Phase Concepts — Foundations and Vocabulary,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | approved distribution gear | clamp/multimeter where authorized | cables | PPE,"Explain and demonstrate single and three-phase concepts through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
32,DAY_032,4,Power Distribution,Concept development,Single And Three-Phase Concepts — Applied Baseline Lab,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | approved distribution gear | clamp/multimeter where authorized | cables | PPE,"Complete a supervised applied lab for single and three-phase concepts, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
33,DAY_033,4,Power Distribution,Guided laboratory,Connectors Cables And Current Capacity — Architecture and Components,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | approved distribution gear | clamp/multimeter where authorized | cables | PPE,"Explain and demonstrate connectors cables and current capacity through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
34,DAY_034,4,Power Distribution,Guided laboratory,Connectors Cables And Current Capacity — Configuration Lab,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | approved distribution gear | clamp/multimeter where authorized | cables | PPE,"Complete a supervised applied lab for connectors cables and current capacity, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
35,DAY_035,4,Power Distribution,Applied practice,Dimmers Relays And Constant Power — Design and Technique,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | approved distribution gear | clamp/multimeter where authorized | cables | PPE,"Explain and demonstrate dimmers relays and constant power through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
36,DAY_036,4,Power Distribution,Operations and measurement,Dimmers Relays And Constant Power — Operations and Measurement,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | approved distribution gear | clamp/multimeter where authorized | cables | PPE,"Complete a supervised applied lab for dimmers relays and constant power, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
37,DAY_037,4,Power Distribution,Troubleshooting laboratory,Distribution Planning Metering And Fault Protection — Troubleshooting and Failure Modes,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | approved distribution gear | clamp/multimeter where authorized | cables | PPE,"Explain and demonstrate distribution planning metering and fault protection through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
38,DAY_038,4,Power Distribution,Safety and quality review,"Distribution Planning Metering And Fault Protection — Safety, Quality, and Verification",foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | approved distribution gear | clamp/multimeter where authorized | cables | PPE,"Complete a supervised applied lab for distribution planning metering and fault protection, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
39,DAY_039,4,Power Distribution,Integration and documentation,"Power Distribution — Integration, Documentation, and Handover",foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | approved distribution gear | clamp/multimeter where authorized | cables | PPE,"Integrate the four power distribution skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
40,DAY_040,4,Power Distribution,Assessment and presentation,Power Distribution — Assessment Project,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | approved distribution gear | clamp/multimeter where authorized | cables | PPE,"Plan, execute, verify, present, and safely close an assessment project covering the complete power distribution phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
41,DAY_041,5,DMX and Control Fundamentals,Orientation and setup,Dmx512 Addressing And Universes — Foundations and Vocabulary,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | lighting console | DMX fixtures | tester where available | visualizer,"Explain and demonstrate DMX512 addressing and universes through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
42,DAY_042,5,DMX and Control Fundamentals,Concept development,Dmx512 Addressing And Universes — Applied Baseline Lab,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | lighting console | DMX fixtures | tester where available | visualizer,"Complete a supervised applied lab for DMX512 addressing and universes, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
43,DAY_043,5,DMX and Control Fundamentals,Guided laboratory,Fixtures Modes Channels And Personalities — Architecture and Components,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | lighting console | DMX fixtures | tester where available | visualizer,"Explain and demonstrate fixtures modes channels and personalities through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
44,DAY_044,5,DMX and Control Fundamentals,Guided laboratory,Fixtures Modes Channels And Personalities — Configuration Lab,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | lighting console | DMX fixtures | tester where available | visualizer,"Complete a supervised applied lab for fixtures modes channels and personalities, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
45,DAY_045,5,DMX and Control Fundamentals,Applied practice,Daisy Chains Termination And Splitters — Design and Technique,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | lighting console | DMX fixtures | tester where available | visualizer,"Explain and demonstrate daisy chains termination and splitters through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
46,DAY_046,5,DMX and Control Fundamentals,Operations and measurement,Daisy Chains Termination And Splitters — Operations and Measurement,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | lighting console | DMX fixtures | tester where available | visualizer,"Complete a supervised applied lab for daisy chains termination and splitters, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
47,DAY_047,5,DMX and Control Fundamentals,Troubleshooting laboratory,Fault Isolation And Documentation — Troubleshooting and Failure Modes,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | lighting console | DMX fixtures | tester where available | visualizer,"Explain and demonstrate fault isolation and documentation through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
48,DAY_048,5,DMX and Control Fundamentals,Safety and quality review,"Fault Isolation And Documentation — Safety, Quality, and Verification",foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | lighting console | DMX fixtures | tester where available | visualizer,"Complete a supervised applied lab for fault isolation and documentation, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
49,DAY_049,5,DMX and Control Fundamentals,Integration and documentation,"DMX and Control Fundamentals — Integration, Documentation, and Handover",foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | lighting console | DMX fixtures | tester where available | visualizer,"Integrate the four dmx and control fundamentals skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
50,DAY_050,5,DMX and Control Fundamentals,Assessment and presentation,DMX and Control Fundamentals — Assessment Project,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | lighting console | DMX fixtures | tester where available | visualizer,"Plan, execute, verify, present, and safely close an assessment project covering the complete dmx and control fundamentals phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
51,DAY_051,6,Lighting Consoles and Programming,Orientation and setup,Patch Groups And Palettes — Foundations and Vocabulary,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | Beyond console | visualizer | fixtures | documentation,"Explain and demonstrate patch groups and palettes through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
52,DAY_052,6,Lighting Consoles and Programming,Concept development,Patch Groups And Palettes — Applied Baseline Lab,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | Beyond console | visualizer | fixtures | documentation,"Complete a supervised applied lab for patch groups and palettes, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
53,DAY_053,6,Lighting Consoles and Programming,Guided laboratory,Intensity Position Color And Beam — Architecture and Components,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | Beyond console | visualizer | fixtures | documentation,"Explain and demonstrate intensity position color and beam through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
54,DAY_054,6,Lighting Consoles and Programming,Guided laboratory,Intensity Position Color And Beam — Configuration Lab,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | Beyond console | visualizer | fixtures | documentation,"Complete a supervised applied lab for intensity position color and beam, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
55,DAY_055,6,Lighting Consoles and Programming,Applied practice,Cues Sequences Chases And Effects — Design and Technique,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | Beyond console | visualizer | fixtures | documentation,"Explain and demonstrate cues sequences chases and effects through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
56,DAY_056,6,Lighting Consoles and Programming,Operations and measurement,Cues Sequences Chases And Effects — Operations and Measurement,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | Beyond console | visualizer | fixtures | documentation,"Complete a supervised applied lab for cues sequences chases and effects, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
57,DAY_057,6,Lighting Consoles and Programming,Troubleshooting laboratory,Show Files Versions And Backups — Troubleshooting and Failure Modes,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | Beyond console | visualizer | fixtures | documentation,"Explain and demonstrate show files versions and backups through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
58,DAY_058,6,Lighting Consoles and Programming,Safety and quality review,"Show Files Versions And Backups — Safety, Quality, and Verification",foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | Beyond console | visualizer | fixtures | documentation,"Complete a supervised applied lab for show files versions and backups, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
59,DAY_059,6,Lighting Consoles and Programming,Integration and documentation,"Lighting Consoles and Programming — Integration, Documentation, and Handover",foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | Beyond console | visualizer | fixtures | documentation,"Integrate the four lighting consoles and programming skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
60,DAY_060,6,Lighting Consoles and Programming,Assessment and presentation,Lighting Consoles and Programming — Assessment Project,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | Beyond console | visualizer | fixtures | documentation,"Plan, execute, verify, present, and safely close an assessment project covering the complete lighting consoles and programming phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
61,DAY_061,7,Rigging and Fixture Hanging,Orientation and setup,Load Paths Ratings And Inspection — Foundations and Vocabulary,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | approved lifts/stands | rated hardware | PPE | fixtures,"Explain and demonstrate load paths ratings and inspection through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
62,DAY_062,7,Rigging and Fixture Hanging,Concept development,Load Paths Ratings And Inspection — Applied Baseline Lab,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | approved lifts/stands | rated hardware | PPE | fixtures,"Complete a supervised applied lab for load paths ratings and inspection, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
63,DAY_063,7,Rigging and Fixture Hanging,Guided laboratory,Clamps Bolts Safety Bonds And Orientation — Architecture and Components,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | approved lifts/stands | rated hardware | PPE | fixtures,"Explain and demonstrate clamps bolts safety bonds and orientation through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
64,DAY_064,7,Rigging and Fixture Hanging,Guided laboratory,Clamps Bolts Safety Bonds And Orientation — Configuration Lab,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | approved lifts/stands | rated hardware | PPE | fixtures,"Complete a supervised applied lab for clamps bolts safety bonds and orientation, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
65,DAY_065,7,Rigging and Fixture Hanging,Applied practice,Ladders Lifts And Supervised Access — Design and Technique,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | approved lifts/stands | rated hardware | PPE | fixtures,"Explain and demonstrate ladders lifts and supervised access through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
66,DAY_066,7,Rigging and Fixture Hanging,Operations and measurement,Ladders Lifts And Supervised Access — Operations and Measurement,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | approved lifts/stands | rated hardware | PPE | fixtures,"Complete a supervised applied lab for ladders lifts and supervised access, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
67,DAY_067,7,Rigging and Fixture Hanging,Troubleshooting laboratory,Focus Access Exclusion And Sign-Off — Troubleshooting and Failure Modes,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | approved lifts/stands | rated hardware | PPE | fixtures,"Explain and demonstrate focus access exclusion and sign-off through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
68,DAY_068,7,Rigging and Fixture Hanging,Safety and quality review,"Focus Access Exclusion And Sign-Off — Safety, Quality, and Verification",foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | approved lifts/stands | rated hardware | PPE | fixtures,"Complete a supervised applied lab for focus access exclusion and sign-off, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
69,DAY_069,7,Rigging and Fixture Hanging,Integration and documentation,"Rigging and Fixture Hanging — Integration, Documentation, and Handover",foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | approved lifts/stands | rated hardware | PPE | fixtures,"Integrate the four rigging and fixture hanging skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
