day,day_code,phase_number,phase,mode,topic,difficulty,estimated_time_hours,tools,objective,required_submission
17,DAY_017,2,Network Models and Ethernet,Troubleshooting laboratory,Cabling Connectors And Physical Standards — Troubleshooting and Failure Modes,foundation,8,Packet Tracer | VirtualBox | lab switches | cable tester | Wireshark,"Explain and demonstrate cabling connectors and physical standards through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
18,DAY_018,2,Network Models and Ethernet,Safety and quality review,"Cabling Connectors And Physical Standards — Safety, Quality, and Verification",foundation,8,Packet Tracer | VirtualBox | lab switches | cable tester | Wireshark,"Complete a supervised applied lab for cabling connectors and physical standards, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
19,DAY_019,2,Network Models and Ethernet,Integration and documentation,"Network Models and Ethernet — Integration, Documentation, and Handover",foundation,8,Packet Tracer | VirtualBox | lab switches | cable tester | Wireshark,"Integrate the four network models and ethernet skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
20,DAY_020,2,Network Models and Ethernet,Assessment and presentation,Network Models and Ethernet — Assessment Project,foundation,8,Packet Tracer | VirtualBox | lab switches | cable tester | Wireshark,"Plan, execute, verify, present, and safely close an assessment project covering the complete network models and ethernet phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
21,DAY_021,3,IPv4 Addressing and Subnetting,Orientation and setup,Binary Decimal And Ipv4 Structure — Foundations and Vocabulary,foundation,8,Packet Tracer | VirtualBox | spreadsheets | Wireshark | lab routers,"Explain and demonstrate binary decimal and IPv4 structure through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
22,DAY_022,3,IPv4 Addressing and Subnetting,Concept development,Binary Decimal And Ipv4 Structure — Applied Baseline Lab,foundation,8,Packet Tracer | VirtualBox | spreadsheets | Wireshark | lab routers,"Complete a supervised applied lab for binary decimal and IPv4 structure, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
23,DAY_023,3,IPv4 Addressing and Subnetting,Guided laboratory,Subnet Masks Cidr And Host Ranges — Architecture and Components,foundation,8,Packet Tracer | VirtualBox | spreadsheets | Wireshark | lab routers,"Explain and demonstrate subnet masks CIDR and host ranges through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
24,DAY_024,3,IPv4 Addressing and Subnetting,Guided laboratory,Subnet Masks Cidr And Host Ranges — Configuration Lab,foundation,8,Packet Tracer | VirtualBox | spreadsheets | Wireshark | lab routers,"Complete a supervised applied lab for subnet masks CIDR and host ranges, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
25,DAY_025,3,IPv4 Addressing and Subnetting,Applied practice,Vlsm Address Planning — Design and Technique,foundation,8,Packet Tracer | VirtualBox | spreadsheets | Wireshark | lab routers,"Explain and demonstrate VLSM address planning through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
26,DAY_026,3,IPv4 Addressing and Subnetting,Operations and measurement,Vlsm Address Planning — Operations and Measurement,foundation,8,Packet Tracer | VirtualBox | spreadsheets | Wireshark | lab routers,"Complete a supervised applied lab for VLSM address planning, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
27,DAY_027,3,IPv4 Addressing and Subnetting,Troubleshooting laboratory,Duplicate Address And Subnet Troubleshooting — Troubleshooting and Failure Modes,foundation,8,Packet Tracer | VirtualBox | spreadsheets | Wireshark | lab routers,"Explain and demonstrate duplicate address and subnet troubleshooting through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
28,DAY_028,3,IPv4 Addressing and Subnetting,Safety and quality review,"Duplicate Address And Subnet Troubleshooting — Safety, Quality, and Verification",foundation,8,Packet Tracer | VirtualBox | spreadsheets | Wireshark | lab routers,"Complete a supervised applied lab for duplicate address and subnet troubleshooting, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
29,DAY_029,3,IPv4 Addressing and Subnetting,Integration and documentation,"IPv4 Addressing and Subnetting — Integration, Documentation, and Handover",foundation,8,Packet Tracer | VirtualBox | spreadsheets | Wireshark | lab routers,"Integrate the four ipv4 addressing and subnetting skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
30,DAY_030,3,IPv4 Addressing and Subnetting,Assessment and presentation,IPv4 Addressing and Subnetting — Assessment Project,foundation,8,Packet Tracer | VirtualBox | spreadsheets | Wireshark | lab routers,"Plan, execute, verify, present, and safely close an assessment project covering the complete ipv4 addressing and subnetting phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
31,DAY_031,4,IPv6 Fundamentals,Orientation and setup,Ipv6 Notation And Address Types — Foundations and Vocabulary,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab routers/switches | Wireshark | Linux VMs,"Explain and demonstrate IPv6 notation and address types through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
32,DAY_032,4,IPv6 Fundamentals,Concept development,Ipv6 Notation And Address Types — Applied Baseline Lab,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab routers/switches | Wireshark | Linux VMs,"Complete a supervised applied lab for IPv6 notation and address types, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
33,DAY_033,4,IPv6 Fundamentals,Guided laboratory,Slaac Dhcpv6 And Neighbor Discovery — Architecture and Components,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab routers/switches | Wireshark | Linux VMs,"Explain and demonstrate SLAAC DHCPv6 and neighbor discovery through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
34,DAY_034,4,IPv6 Fundamentals,Guided laboratory,Slaac Dhcpv6 And Neighbor Discovery — Configuration Lab,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab routers/switches | Wireshark | Linux VMs,"Complete a supervised applied lab for SLAAC DHCPv6 and neighbor discovery, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
35,DAY_035,4,IPv6 Fundamentals,Applied practice,Ipv6 Subnet Planning And Routing — Design and Technique,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab routers/switches | Wireshark | Linux VMs,"Explain and demonstrate IPv6 subnet planning and routing through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
36,DAY_036,4,IPv6 Fundamentals,Operations and measurement,Ipv6 Subnet Planning And Routing — Operations and Measurement,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab routers/switches | Wireshark | Linux VMs,"Complete a supervised applied lab for IPv6 subnet planning and routing, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
37,DAY_037,4,IPv6 Fundamentals,Troubleshooting laboratory,Dual-Stack Security And Troubleshooting — Troubleshooting and Failure Modes,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab routers/switches | Wireshark | Linux VMs,"Explain and demonstrate dual-stack security and troubleshooting through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
38,DAY_038,4,IPv6 Fundamentals,Safety and quality review,"Dual-Stack Security And Troubleshooting — Safety, Quality, and Verification",foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab routers/switches | Wireshark | Linux VMs,"Complete a supervised applied lab for dual-stack security and troubleshooting, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
39,DAY_039,4,IPv6 Fundamentals,Integration and documentation,"IPv6 Fundamentals — Integration, Documentation, and Handover",foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab routers/switches | Wireshark | Linux VMs,"Integrate the four ipv6 fundamentals skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
40,DAY_040,4,IPv6 Fundamentals,Assessment and presentation,IPv6 Fundamentals — Assessment Project,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab routers/switches | Wireshark | Linux VMs,"Plan, execute, verify, present, and safely close an assessment project covering the complete ipv6 fundamentals phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
41,DAY_041,5,Switching and VLANs,Orientation and setup,Switch Management And Secure Access — Foundations and Vocabulary,foundation-to-intermediate,8,Packet Tracer | VirtualBox | managed switches | console cable | Wireshark,"Explain and demonstrate switch management and secure access through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
42,DAY_042,5,Switching and VLANs,Concept development,Switch Management And Secure Access — Applied Baseline Lab,foundation-to-intermediate,8,Packet Tracer | VirtualBox | managed switches | console cable | Wireshark,"Complete a supervised applied lab for switch management and secure access, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
43,DAY_043,5,Switching and VLANs,Guided laboratory,Vlan Creation Access And Trunk Ports — Architecture and Components,foundation-to-intermediate,8,Packet Tracer | VirtualBox | managed switches | console cable | Wireshark,"Explain and demonstrate VLAN creation access and trunk ports through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
44,DAY_044,5,Switching and VLANs,Guided laboratory,Vlan Creation Access And Trunk Ports — Configuration Lab,foundation-to-intermediate,8,Packet Tracer | VirtualBox | managed switches | console cable | Wireshark,"Complete a supervised applied lab for VLAN creation access and trunk ports, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
45,DAY_045,5,Switching and VLANs,Applied practice,802.1Q Native Vlan And Dtp Risks — Design and Technique,foundation-to-intermediate,8,Packet Tracer | VirtualBox | managed switches | console cable | Wireshark,"Explain and demonstrate 802.1Q native VLAN and DTP risks through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
46,DAY_046,5,Switching and VLANs,Operations and measurement,802.1Q Native Vlan And Dtp Risks — Operations and Measurement,foundation-to-intermediate,8,Packet Tracer | VirtualBox | managed switches | console cable | Wireshark,"Complete a supervised applied lab for 802.1Q native VLAN and DTP risks, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
47,DAY_047,5,Switching and VLANs,Troubleshooting laboratory,Inter-Vlan Design And Troubleshooting — Troubleshooting and Failure Modes,foundation-to-intermediate,8,Packet Tracer | VirtualBox | managed switches | console cable | Wireshark,"Explain and demonstrate inter-VLAN design and troubleshooting through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
48,DAY_048,5,Switching and VLANs,Safety and quality review,"Inter-Vlan Design And Troubleshooting — Safety, Quality, and Verification",foundation-to-intermediate,8,Packet Tracer | VirtualBox | managed switches | console cable | Wireshark,"Complete a supervised applied lab for inter-VLAN design and troubleshooting, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
49,DAY_049,5,Switching and VLANs,Integration and documentation,"Switching and VLANs — Integration, Documentation, and Handover",foundation-to-intermediate,8,Packet Tracer | VirtualBox | managed switches | console cable | Wireshark,"Integrate the four switching and vlans skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
50,DAY_050,5,Switching and VLANs,Assessment and presentation,Switching and VLANs — Assessment Project,foundation-to-intermediate,8,Packet Tracer | VirtualBox | managed switches | console cable | Wireshark,"Plan, execute, verify, present, and safely close an assessment project covering the complete switching and vlans phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
51,DAY_051,6,Spanning Tree and Layer 2 Resilience,Orientation and setup,Loops Broadcast Storms And Stp Roles — Foundations and Vocabulary,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab switches | Wireshark | documentation,"Explain and demonstrate loops broadcast storms and STP roles through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
52,DAY_052,6,Spanning Tree and Layer 2 Resilience,Concept development,Loops Broadcast Storms And Stp Roles — Applied Baseline Lab,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab switches | Wireshark | documentation,"Complete a supervised applied lab for loops broadcast storms and STP roles, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
53,DAY_053,6,Spanning Tree and Layer 2 Resilience,Guided laboratory,Root Bridge Path Cost And Port States — Architecture and Components,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab switches | Wireshark | documentation,"Explain and demonstrate root bridge path cost and port states through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
54,DAY_054,6,Spanning Tree and Layer 2 Resilience,Guided laboratory,Root Bridge Path Cost And Port States — Configuration Lab,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab switches | Wireshark | documentation,"Complete a supervised applied lab for root bridge path cost and port states, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
55,DAY_055,6,Spanning Tree and Layer 2 Resilience,Applied practice,Rstp Protections And Etherchannel — Design and Technique,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab switches | Wireshark | documentation,"Explain and demonstrate RSTP protections and EtherChannel through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
56,DAY_056,6,Spanning Tree and Layer 2 Resilience,Operations and measurement,Rstp Protections And Etherchannel — Operations and Measurement,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab switches | Wireshark | documentation,"Complete a supervised applied lab for RSTP protections and EtherChannel, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
57,DAY_057,6,Spanning Tree and Layer 2 Resilience,Troubleshooting laboratory,Redundancy Testing And Recovery — Troubleshooting and Failure Modes,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab switches | Wireshark | documentation,"Explain and demonstrate redundancy testing and recovery through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
58,DAY_058,6,Spanning Tree and Layer 2 Resilience,Safety and quality review,"Redundancy Testing And Recovery — Safety, Quality, and Verification",foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab switches | Wireshark | documentation,"Complete a supervised applied lab for redundancy testing and recovery, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
59,DAY_059,6,Spanning Tree and Layer 2 Resilience,Integration and documentation,"Spanning Tree and Layer 2 Resilience — Integration, Documentation, and Handover",foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab switches | Wireshark | documentation,"Integrate the four spanning tree and layer 2 resilience skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
60,DAY_060,6,Spanning Tree and Layer 2 Resilience,Assessment and presentation,Spanning Tree and Layer 2 Resilience — Assessment Project,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab switches | Wireshark | documentation,"Plan, execute, verify, present, and safely close an assessment project covering the complete spanning tree and layer 2 resilience phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
61,DAY_061,7,Static and Dynamic Routing,Orientation and setup,Routing Table And Forwarding Decisions — Foundations and Vocabulary,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab routers | Wireshark | CLI tools,"Explain and demonstrate routing table and forwarding decisions through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
62,DAY_062,7,Static and Dynamic Routing,Concept development,Routing Table And Forwarding Decisions — Applied Baseline Lab,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab routers | Wireshark | CLI tools,"Complete a supervised applied lab for routing table and forwarding decisions, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
63,DAY_063,7,Static and Dynamic Routing,Guided laboratory,Static Default And Floating Routes — Architecture and Components,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab routers | Wireshark | CLI tools,"Explain and demonstrate static default and floating routes through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
64,DAY_064,7,Static and Dynamic Routing,Guided laboratory,Static Default And Floating Routes — Configuration Lab,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab routers | Wireshark | CLI tools,"Complete a supervised applied lab for static default and floating routes, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
65,DAY_065,7,Static and Dynamic Routing,Applied practice,Distance Vector And Link State Concepts — Design and Technique,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab routers | Wireshark | CLI tools,"Explain and demonstrate distance vector and link state concepts through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
66,DAY_066,7,Static and Dynamic Routing,Operations and measurement,Distance Vector And Link State Concepts — Operations and Measurement,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab routers | Wireshark | CLI tools,"Complete a supervised applied lab for distance vector and link state concepts, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
67,DAY_067,7,Static and Dynamic Routing,Troubleshooting laboratory,Route Verification And Failure Isolation — Troubleshooting and Failure Modes,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab routers | Wireshark | CLI tools,"Explain and demonstrate route verification and failure isolation through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
68,DAY_068,7,Static and Dynamic Routing,Safety and quality review,"Route Verification And Failure Isolation — Safety, Quality, and Verification",foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab routers | Wireshark | CLI tools,"Complete a supervised applied lab for route verification and failure isolation, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
69,DAY_069,7,Static and Dynamic Routing,Integration and documentation,"Static and Dynamic Routing — Integration, Documentation, and Handover",foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab routers | Wireshark | CLI tools,"Integrate the four static and dynamic routing skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
70,DAY_070,7,Static and Dynamic Routing,Assessment and presentation,Static and Dynamic Routing — Assessment Project,foundation-to-intermediate,8,Packet Tracer | VirtualBox | lab routers | Wireshark | CLI tools,"Plan, execute, verify, present, and safely close an assessment project covering the complete static and dynamic routing phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
71,DAY_071,8,OSPF Routing,Orientation and setup,Ospf Neighbors Areas And Lsdb — Foundations and Vocabulary,foundation-to-intermediate,8,Packet Tracer | VirtualBox | Packet Tracer/GNS3 approved | lab routers | Wireshark | documentation,"Explain and demonstrate OSPF neighbors areas and LSDB through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
72,DAY_072,8,OSPF Routing,Concept development,Ospf Neighbors Areas And Lsdb — Applied Baseline Lab,foundation-to-intermediate,8,Packet Tracer | VirtualBox | Packet Tracer/GNS3 approved | lab routers | Wireshark | documentation,"Complete a supervised applied lab for OSPF neighbors areas and LSDB, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
73,DAY_073,8,OSPF Routing,Guided laboratory,Single-Area Ospf Configuration — Architecture and Components,foundation-to-intermediate,8,Packet Tracer | VirtualBox | Packet Tracer/GNS3 approved | lab routers | Wireshark | documentation,"Explain and demonstrate single-area OSPF configuration through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
74,DAY_074,8,OSPF Routing,Guided laboratory,Single-Area Ospf Configuration — Configuration Lab,foundation-to-intermediate,8,Packet Tracer | VirtualBox | Packet Tracer/GNS3 approved | lab routers | Wireshark | documentation,"Complete a supervised applied lab for single-area OSPF configuration, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
