day,day_code,phase_number,phase,mode,topic,difficulty,estimated_time_hours,tools,objective,required_submission
11,DAY_011,2,Phase 2 — Python Programming Foundations for AI,Orientation and setup,"Python Syntax, Variables, and Data Types",foundation,8,Python | Jupyter | VS Code | Git,Build a small script that validates and summarizes synthetic observations.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
12,DAY_012,2,Phase 2 — Python Programming Foundations for AI,Concept development,"Operators, Expressions, and Type Conversion",foundation,8,Python | Jupyter | VS Code | Git,Implement safe numeric calculations with explicit conversions and checks.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
13,DAY_013,2,Phase 2 — Python Programming Foundations for AI,Guided laboratory,Conditions and Decision Logic,foundation,8,Python | Jupyter | VS Code | Git,Create a transparent eligibility-rule demonstration using synthetic cases.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
14,DAY_014,2,Phase 2 — Python Programming Foundations for AI,Guided laboratory,Loops and Iteration Patterns,foundation,8,Python | Jupyter | VS Code | Git,Process a list of synthetic records and report valid and invalid entries.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
15,DAY_015,2,Phase 2 — Python Programming Foundations for AI,Applied practice,"Functions, Parameters, and Return Values",foundation,8,Python | Jupyter | VS Code | Git,"Refactor repeated logic into documented, testable functions.","Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
16,DAY_016,2,Phase 2 — Python Programming Foundations for AI,Applied practice,"Lists, Tuples, Sets, and Dictionaries",foundation,8,Python | Jupyter | VS Code | Git,Represent and transform structured AI-lab metadata.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
17,DAY_017,2,Phase 2 — Python Programming Foundations for AI,Evaluation laboratory,"Strings, Files, and Safe Input Handling",foundation,8,Python | Jupyter | VS Code | Git,"Read a text file, sanitize inputs, and produce a clean output file.","Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
18,DAY_018,2,Phase 2 — Python Programming Foundations for AI,Safety and ethics review,"Exceptions, Logging, and Debugging",foundation,8,Python | Jupyter | VS Code | Git,Add controlled error handling and a useful troubleshooting log.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
19,DAY_019,2,Phase 2 — Python Programming Foundations for AI,Documentation and integration,"Modules, Packages, Virtual Environments, and Git",foundation,8,Python | Jupyter | VS Code | Git,Package a small project and record dependencies and source changes.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
20,DAY_020,2,Phase 2 — Python Programming Foundations for AI,Assessment and presentation,Python Foundations Assessment Project,foundation,8,Python | Jupyter | VS Code | Git,Deliver a command-line data-quality checker with tests and documentation.,"Assessment demonstration, complete reproducible project package, evaluation evidence, safety/ethics review, and technical report."
21,DAY_021,3,Phase 3 — Mathematics and Statistics for AI,Orientation and setup,"Numbers, Arrays, Vectors, and Shapes",foundation,8,Python | Jupyter | NumPy | Matplotlib,Represent observations as NumPy arrays and verify dimensions.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
22,DAY_022,3,Phase 3 — Mathematics and Statistics for AI,Concept development,Matrix Operations and Linear Transformations,foundation,8,Python | Jupyter | NumPy | Matplotlib,Perform matrix arithmetic and explain shape compatibility.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
23,DAY_023,3,Phase 3 — Mathematics and Statistics for AI,Guided laboratory,"Functions, Slopes, and Gradients",foundation,8,Python | Jupyter | NumPy | Matplotlib,Visualize a function and estimate how output changes with input.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
24,DAY_024,3,Phase 3 — Mathematics and Statistics for AI,Guided laboratory,Descriptive Statistics,foundation,8,Python | Jupyter | NumPy | Matplotlib,"Calculate and interpret mean, median, spread, and outliers.","Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
25,DAY_025,3,Phase 3 — Mathematics and Statistics for AI,Applied practice,Probability Foundations,foundation,8,Python | Jupyter | NumPy | Matplotlib,Model simple events and compare theoretical and simulated probability.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
26,DAY_026,3,Phase 3 — Mathematics and Statistics for AI,Applied practice,Random Variables and Distributions,foundation,8,Python | Jupyter | NumPy | Matplotlib,Generate controlled samples and inspect distribution shape.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
27,DAY_027,3,Phase 3 — Mathematics and Statistics for AI,Evaluation laboratory,"Sampling, Estimation, and Confidence",foundation,8,Python | Jupyter | NumPy | Matplotlib,Compare samples with a known synthetic population.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
28,DAY_028,3,Phase 3 — Mathematics and Statistics for AI,Safety and ethics review,"Correlation, Causation, and Confounding",foundation,8,Python | Jupyter | NumPy | Matplotlib,Measure association and explain why it does not establish causation.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
29,DAY_029,3,Phase 3 — Mathematics and Statistics for AI,Documentation and integration,Loss Functions and Optimization Intuition,foundation,8,Python | Jupyter | NumPy | Matplotlib,Visualize a loss surface and find a minimum iteratively.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
30,DAY_030,3,Phase 3 — Mathematics and Statistics for AI,Assessment and presentation,Mathematics and Statistics Assessment,foundation,8,Python | Jupyter | NumPy | Matplotlib,Analyze a synthetic dataset and explain uncertainty and limitations.,"Assessment demonstration, complete reproducible project package, evaluation evidence, safety/ethics review, and technical report."
31,DAY_031,4,"Phase 4 — Data Acquisition, Cleaning, and Exploration",Orientation and setup,"Data Sources, Formats, and Provenance",foundation-to-intermediate,8,Python | Jupyter | pandas | NumPy | Matplotlib | Seaborn,"Inventory approved CSV, JSON, spreadsheet, database, and API sources.","Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
32,DAY_032,4,"Phase 4 — Data Acquisition, Cleaning, and Exploration",Concept development,"Loading CSV, JSON, and Tabular Data",foundation-to-intermediate,8,Python | Jupyter | pandas | NumPy | Matplotlib | Seaborn,Load approved sample files and validate expected columns and types.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
33,DAY_033,4,"Phase 4 — Data Acquisition, Cleaning, and Exploration",Guided laboratory,"DataFrames, Selection, and Filtering",foundation-to-intermediate,8,Python | Jupyter | pandas | NumPy | Matplotlib | Seaborn,"Select, filter, sort, and summarize a structured dataset.","Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
34,DAY_034,4,"Phase 4 — Data Acquisition, Cleaning, and Exploration",Guided laboratory,Missing Values and Completeness,foundation-to-intermediate,8,Python | Jupyter | pandas | NumPy | Matplotlib | Seaborn,Profile missingness and compare safe treatment strategies.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
35,DAY_035,4,"Phase 4 — Data Acquisition, Cleaning, and Exploration",Applied practice,"Duplicates, Consistency, and Validation Rules",foundation-to-intermediate,8,Python | Jupyter | pandas | NumPy | Matplotlib | Seaborn,Detect duplicates and inconsistent categories using explicit rules.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
36,DAY_036,4,"Phase 4 — Data Acquisition, Cleaning, and Exploration",Applied practice,"Data Types, Dates, and Text Normalization",foundation-to-intermediate,8,Python | Jupyter | pandas | NumPy | Matplotlib | Seaborn,Correct data types and normalize dates and text safely.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
37,DAY_037,4,"Phase 4 — Data Acquisition, Cleaning, and Exploration",Evaluation laboratory,Outliers and Anomaly Review,foundation-to-intermediate,8,Python | Jupyter | pandas | NumPy | Matplotlib | Seaborn,Detect potential outliers and distinguish error from legitimate variation.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
38,DAY_038,4,"Phase 4 — Data Acquisition, Cleaning, and Exploration",Safety and ethics review,Exploratory Data Analysis,foundation-to-intermediate,8,Python | Jupyter | pandas | NumPy | Matplotlib | Seaborn,Create descriptive summaries and answer framed questions without overclaiming.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
39,DAY_039,4,"Phase 4 — Data Acquisition, Cleaning, and Exploration",Documentation and integration,Data Visualization and Honest Communication,foundation-to-intermediate,8,Python | Jupyter | pandas | NumPy | Matplotlib | Seaborn,Build accessible charts that do not mislead the viewer.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
40,DAY_040,4,"Phase 4 — Data Acquisition, Cleaning, and Exploration",Assessment and presentation,Data Quality Assessment Project,foundation-to-intermediate,8,Python | Jupyter | pandas | NumPy | Matplotlib | Seaborn,Produce a reproducible data-quality report and cleaned dataset.,"Assessment demonstration, complete reproducible project package, evaluation evidence, safety/ethics review, and technical report."
41,DAY_041,5,"Phase 5 — Databases, SQL, APIs, and Data Pipelines",Orientation and setup,Relational Data and Database Design,foundation-to-intermediate,8,Python | Jupyter | SQLite/PostgreSQL lab | SQL | requests | Git,Design a small normalized schema for an approved synthetic domain.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
42,DAY_042,5,"Phase 5 — Databases, SQL, APIs, and Data Pipelines",Concept development,"SQL SELECT, WHERE, ORDER BY, and LIMIT",foundation-to-intermediate,8,Python | Jupyter | SQLite/PostgreSQL lab | SQL | requests | Git,Query approved lab tables and validate row counts.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
43,DAY_043,5,"Phase 5 — Databases, SQL, APIs, and Data Pipelines",Guided laboratory,"Aggregations, GROUP BY, and HAVING",foundation-to-intermediate,8,Python | Jupyter | SQLite/PostgreSQL lab | SQL | requests | Git,Create grouped summaries and check them manually.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
44,DAY_044,5,"Phase 5 — Databases, SQL, APIs, and Data Pipelines",Guided laboratory,SQL Joins and Relationship Integrity,foundation-to-intermediate,8,Python | Jupyter | SQLite/PostgreSQL lab | SQL | requests | Git,Join related tables and diagnose missing or duplicated matches.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
45,DAY_045,5,"Phase 5 — Databases, SQL, APIs, and Data Pipelines",Applied practice,Data Modification and Transactions,foundation-to-intermediate,8,Python | Jupyter | SQLite/PostgreSQL lab | SQL | requests | Git,Perform controlled inserts and updates inside a disposable lab database.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
46,DAY_046,5,"Phase 5 — Databases, SQL, APIs, and Data Pipelines",Applied practice,Python Database Access,foundation-to-intermediate,8,Python | Jupyter | SQLite/PostgreSQL lab | SQL | requests | Git,Read parameterized query results into Python without SQL injection.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
47,DAY_047,5,"Phase 5 — Databases, SQL, APIs, and Data Pipelines",Evaluation laboratory,"REST APIs, JSON, and Authentication Concepts",foundation-to-intermediate,8,Python | Jupyter | SQLite/PostgreSQL lab | SQL | requests | Git,Consume an approved public or mock API without exposing credentials.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
48,DAY_048,5,"Phase 5 — Databases, SQL, APIs, and Data Pipelines",Safety and ethics review,"Pagination, Rate Limits, and Resilient Requests",foundation-to-intermediate,8,Python | Jupyter | SQLite/PostgreSQL lab | SQL | requests | Git,Retrieve paginated mock data with retries and bounded requests.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
49,DAY_049,5,"Phase 5 — Databases, SQL, APIs, and Data Pipelines",Documentation and integration,ETL Pipeline Design and Validation,foundation-to-intermediate,8,Python | Jupyter | SQLite/PostgreSQL lab | SQL | requests | Git,Build extract-transform-load stages with validation checkpoints.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
50,DAY_050,5,"Phase 5 — Databases, SQL, APIs, and Data Pipelines",Assessment and presentation,Data Pipeline Assessment Project,foundation-to-intermediate,8,Python | Jupyter | SQLite/PostgreSQL lab | SQL | requests | Git,Deliver a documented local pipeline from source to validated database output.,"Assessment demonstration, complete reproducible project package, evaluation evidence, safety/ethics review, and technical report."
51,DAY_051,6,Phase 6 — Machine Learning Foundations,Orientation and setup,Machine Learning Workflow and Problem Types,foundation-to-intermediate,8,Python | Jupyter | pandas | scikit-learn | Matplotlib,"Classify sample problems as supervised, unsupervised, or non-ML.","Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
52,DAY_052,6,Phase 6 — Machine Learning Foundations,Concept development,"Features, Targets, and Data Leakage",foundation-to-intermediate,8,Python | Jupyter | pandas | scikit-learn | Matplotlib,Construct features while identifying leakage and unavailable-at-inference data.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
53,DAY_053,6,Phase 6 — Machine Learning Foundations,Guided laboratory,"Train, Validation, and Test Splits",foundation-to-intermediate,8,Python | Jupyter | pandas | scikit-learn | Matplotlib,Create reproducible splits and explain the purpose of each partition.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
54,DAY_054,6,Phase 6 — Machine Learning Foundations,Guided laboratory,Preprocessing Numeric and Categorical Features,foundation-to-intermediate,8,Python | Jupyter | pandas | scikit-learn | Matplotlib,Build safe transformations fit only on training data.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
55,DAY_055,6,Phase 6 — Machine Learning Foundations,Applied practice,Baseline Models and Evaluation Plans,foundation-to-intermediate,8,Python | Jupyter | pandas | scikit-learn | Matplotlib,Establish simple baselines before testing more complex models.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
56,DAY_056,6,Phase 6 — Machine Learning Foundations,Applied practice,Linear Regression,foundation-to-intermediate,8,Python | Jupyter | pandas | scikit-learn | Matplotlib,Train and interpret a regression model on a synthetic dataset.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
57,DAY_057,6,Phase 6 — Machine Learning Foundations,Evaluation laboratory,Logistic Regression,foundation-to-intermediate,8,Python | Jupyter | pandas | scikit-learn | Matplotlib,Train a binary classifier and interpret predicted probabilities.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
58,DAY_058,6,Phase 6 — Machine Learning Foundations,Safety and ethics review,Decision Trees,foundation-to-intermediate,8,Python | Jupyter | pandas | scikit-learn | Matplotlib,Train and visualize a bounded-depth decision tree.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
59,DAY_059,6,Phase 6 — Machine Learning Foundations,Documentation and integration,"Overfitting, Underfitting, and Regularization",foundation-to-intermediate,8,Python | Jupyter | pandas | scikit-learn | Matplotlib,Compare training and validation performance across model complexity.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
60,DAY_060,6,Phase 6 — Machine Learning Foundations,Assessment and presentation,End-to-End scikit-learn Pipeline Project,foundation-to-intermediate,8,Python | Jupyter | pandas | scikit-learn | Matplotlib,Deliver a reproducible preprocessing-and-model pipeline with a model card draft.,"Assessment demonstration, complete reproducible project package, evaluation evidence, safety/ethics review, and technical report."
61,DAY_061,7,"Phase 7 — Classification, Regression, and Evaluation",Orientation and setup,Confusion Matrix and Classification Errors,foundation-to-intermediate,8,Python | Jupyter | scikit-learn | pandas | Matplotlib | Seaborn,Calculate and interpret true/false positives and negatives.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
62,DAY_062,7,"Phase 7 — Classification, Regression, and Evaluation",Concept development,"Accuracy, Precision, Recall, and F1",foundation-to-intermediate,8,Python | Jupyter | scikit-learn | pandas | Matplotlib | Seaborn,Compare metrics under imbalanced synthetic conditions.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
63,DAY_063,7,"Phase 7 — Classification, Regression, and Evaluation",Guided laboratory,Probability Thresholds and Decision Costs,foundation-to-intermediate,8,Python | Jupyter | scikit-learn | pandas | Matplotlib | Seaborn,Tune a decision threshold using explicit error costs.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
64,DAY_064,7,"Phase 7 — Classification, Regression, and Evaluation",Guided laboratory,"ROC Curves, Precision-Recall Curves, and AUC",foundation-to-intermediate,8,Python | Jupyter | scikit-learn | pandas | Matplotlib | Seaborn,Plot curves and explain when each view is informative.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
65,DAY_065,7,"Phase 7 — Classification, Regression, and Evaluation",Applied practice,"Regression Metrics: MAE, MSE, RMSE, and R²",foundation-to-intermediate,8,Python | Jupyter | scikit-learn | pandas | Matplotlib | Seaborn,Evaluate predictions using multiple regression metrics.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
66,DAY_066,7,"Phase 7 — Classification, Regression, and Evaluation",Applied practice,Cross-Validation,foundation-to-intermediate,8,Python | Jupyter | scikit-learn | pandas | Matplotlib | Seaborn,Estimate generalization using reproducible folds.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
67,DAY_067,7,"Phase 7 — Classification, Regression, and Evaluation",Evaluation laboratory,Hyperparameter Search,foundation-to-intermediate,8,Python | Jupyter | scikit-learn | pandas | Matplotlib | Seaborn,Run a bounded search without tuning on the test set.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
68,DAY_068,7,"Phase 7 — Classification, Regression, and Evaluation",Safety and ethics review,Class Imbalance and Resampling Controls,foundation-to-intermediate,8,Python | Jupyter | scikit-learn | pandas | Matplotlib | Seaborn,Compare class weighting and resampling within training folds.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
69,DAY_069,7,"Phase 7 — Classification, Regression, and Evaluation",Documentation and integration,Error Analysis and Slice Evaluation,foundation-to-intermediate,8,Python | Jupyter | scikit-learn | pandas | Matplotlib | Seaborn,"Inspect failures across meaningful, approved data slices.","Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
70,DAY_070,7,"Phase 7 — Classification, Regression, and Evaluation",Assessment and presentation,Model Evaluation Assessment Project,foundation-to-intermediate,8,Python | Jupyter | scikit-learn | pandas | Matplotlib | Seaborn,Compare candidate models and justify a safe recommendation.,"Assessment demonstration, complete reproducible project package, evaluation evidence, safety/ethics review, and technical report."
71,DAY_071,8,Phase 8 — Unsupervised Learning and Feature Engineering,Orientation and setup,Unsupervised Learning and Appropriate Use,foundation-to-intermediate,8,Python | Jupyter | scikit-learn | pandas | Matplotlib,Frame a discovery task without pretending clusters are ground truth.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
72,DAY_072,8,Phase 8 — Unsupervised Learning and Feature Engineering,Concept development,Feature Scaling and Distance Measures,foundation-to-intermediate,8,Python | Jupyter | scikit-learn | pandas | Matplotlib,Show how scaling changes distance-based results.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
73,DAY_073,8,Phase 8 — Unsupervised Learning and Feature Engineering,Guided laboratory,K-Means Clustering,foundation-to-intermediate,8,Python | Jupyter | scikit-learn | pandas | Matplotlib,Cluster synthetic observations and inspect sensitivity to initialization.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
74,DAY_074,8,Phase 8 — Unsupervised Learning and Feature Engineering,Guided laboratory,Hierarchical Clustering,foundation-to-intermediate,8,Python | Jupyter | scikit-learn | pandas | Matplotlib,Build and interpret a dendrogram for a small dataset.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
75,DAY_075,8,Phase 8 — Unsupervised Learning and Feature Engineering,Applied practice,Density-Based Clustering,foundation-to-intermediate,8,Python | Jupyter | scikit-learn | pandas | Matplotlib,Use DBSCAN to identify dense regions and noise.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
76,DAY_076,8,Phase 8 — Unsupervised Learning and Feature Engineering,Applied practice,Principal Component Analysis,foundation-to-intermediate,8,Python | Jupyter | scikit-learn | pandas | Matplotlib,Reduce dimensions and explain retained variance.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
77,DAY_077,8,Phase 8 — Unsupervised Learning and Feature Engineering,Evaluation laboratory,Feature Engineering for Numeric Data,foundation-to-intermediate,8,Python | Jupyter | scikit-learn | pandas | Matplotlib,Create bounded transformations and interaction features.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
78,DAY_078,8,Phase 8 — Unsupervised Learning and Feature Engineering,Safety and ethics review,"Feature Engineering for Categories, Dates, and Text",foundation-to-intermediate,8,Python | Jupyter | scikit-learn | pandas | Matplotlib,Encode structured features without leakage.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
79,DAY_079,8,Phase 8 — Unsupervised Learning and Feature Engineering,Documentation and integration,Anomaly Detection,foundation-to-intermediate,8,Python | Jupyter | scikit-learn | pandas | Matplotlib,"Flag unusual synthetic cases for human review, not automatic accusation.","Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
80,DAY_080,8,Phase 8 — Unsupervised Learning and Feature Engineering,Assessment and presentation,Unsupervised Learning Assessment Project,foundation-to-intermediate,8,Python | Jupyter | scikit-learn | pandas | Matplotlib,Produce a cautious segmentation or anomaly-analysis report.,"Assessment demonstration, complete reproducible project package, evaluation evidence, safety/ethics review, and technical report."
81,DAY_081,9,Phase 9 — Deep Learning Foundations,Orientation and setup,Deep Learning Use Cases and Compute Planning,intermediate,8,Python | Jupyter | PyTorch | NumPy | Matplotlib,Decide whether deep learning is justified for sample problems.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
82,DAY_082,9,Phase 9 — Deep Learning Foundations,Concept development,"Tensors, Devices, Shapes, and Data Types",intermediate,8,Python | Jupyter | PyTorch | NumPy | Matplotlib,"Create tensors and verify shape, device, and numeric type.","Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
83,DAY_083,9,Phase 9 — Deep Learning Foundations,Guided laboratory,"Neurons, Layers, and Activation Functions",intermediate,8,Python | Jupyter | PyTorch | NumPy | Matplotlib,Implement and visualize a small forward pass.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
84,DAY_084,9,Phase 9 — Deep Learning Foundations,Guided laboratory,Loss Functions and Gradient Descent,intermediate,8,Python | Jupyter | PyTorch | NumPy | Matplotlib,Train a one-parameter example and track loss reduction.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
85,DAY_085,9,Phase 9 — Deep Learning Foundations,Applied practice,Automatic Differentiation and Backpropagation,intermediate,8,Python | Jupyter | PyTorch | NumPy | Matplotlib,Inspect computed gradients in a small computation graph.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
86,DAY_086,9,Phase 9 — Deep Learning Foundations,Applied practice,Building a Neural Network in PyTorch,intermediate,8,Python | Jupyter | PyTorch | NumPy | Matplotlib,Define and test a small feed-forward network.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
87,DAY_087,9,Phase 9 — Deep Learning Foundations,Evaluation laboratory,"Datasets, DataLoaders, Batches, and Shuffling",intermediate,8,Python | Jupyter | PyTorch | NumPy | Matplotlib,Create a reproducible mini-batch training pipeline.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
88,DAY_088,9,Phase 9 — Deep Learning Foundations,Safety and ethics review,Training and Validation Loops,intermediate,8,Python | Jupyter | PyTorch | NumPy | Matplotlib,Implement separate training and evaluation modes correctly.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
89,DAY_089,9,Phase 9 — Deep Learning Foundations,Documentation and integration,"Regularization, Early Stopping, and Checkpoints",intermediate,8,Python | Jupyter | PyTorch | NumPy | Matplotlib,Control overfitting and save the best validated state.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
90,DAY_090,9,Phase 9 — Deep Learning Foundations,Assessment and presentation,Deep Learning Foundations Project,intermediate,8,Python | Jupyter | PyTorch | NumPy | Matplotlib,"Train, evaluate, and document a small network responsibly.","Assessment demonstration, complete reproducible project package, evaluation evidence, safety/ethics review, and technical report."
91,DAY_091,10,Phase 10 — Computer Vision,Orientation and setup,"Digital Images, Pixels, Channels, and Metadata",intermediate,8,Python | Jupyter | PyTorch | torchvision | Pillow | OpenCV,"Load approved images and inspect dimensions, channels, and metadata.","Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
92,DAY_092,10,Phase 10 — Computer Vision,Concept development,Image Preprocessing and Normalization,intermediate,8,Python | Jupyter | PyTorch | torchvision | Pillow | OpenCV,Resize and normalize images without distorting labels.,"Setup evidence, completed practical artifact, independent verification record, safety/ethics check, and short technical report."
