day,day_code,phase_number,phase,mode,topic,difficulty,estimated_time_hours,tools,objective,required_submission
28,DAY_028,3,"Cables, Connectors, and DI Boxes",Safety and quality review,"Cable Testing Labeling And Care — Safety, Quality, and Verification",foundation,8,Beyond mixers | microphones | audio cables | cable tester | DI boxes | PPE,"Complete a supervised applied lab for cable testing labeling and care, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
29,DAY_029,3,"Cables, Connectors, and DI Boxes",Integration and documentation,"Cables, Connectors, and DI Boxes — Integration, Documentation, and Handover",foundation,8,Beyond mixers | microphones | audio cables | cable tester | DI boxes | PPE,"Integrate the four cables, connectors, and di boxes skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
30,DAY_030,3,"Cables, Connectors, and DI Boxes",Assessment and presentation,"Cables, Connectors, and DI Boxes — Assessment Project",foundation,8,Beyond mixers | microphones | audio cables | cable tester | DI boxes | PPE,"Plan, execute, verify, present, and safely close an assessment project covering the complete cables, connectors, and di boxes phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
31,DAY_031,4,Microphones and Placement,Orientation and setup,Dynamic Condenser And Ribbon Concepts — Foundations and Vocabulary,foundation-to-intermediate,8,Beyond mixers | microphones | stands | mixer | headphones/PPE,"Explain and demonstrate dynamic condenser and ribbon concepts through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
32,DAY_032,4,Microphones and Placement,Concept development,Dynamic Condenser And Ribbon Concepts — Applied Baseline Lab,foundation-to-intermediate,8,Beyond mixers | microphones | stands | mixer | headphones/PPE,"Complete a supervised applied lab for dynamic condenser and ribbon concepts, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
33,DAY_033,4,Microphones and Placement,Guided laboratory,Polar Patterns Proximity And Off-Axis Response — Architecture and Components,foundation-to-intermediate,8,Beyond mixers | microphones | stands | mixer | headphones/PPE,"Explain and demonstrate polar patterns proximity and off-axis response through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
34,DAY_034,4,Microphones and Placement,Guided laboratory,Polar Patterns Proximity And Off-Axis Response — Configuration Lab,foundation-to-intermediate,8,Beyond mixers | microphones | stands | mixer | headphones/PPE,"Complete a supervised applied lab for polar patterns proximity and off-axis response, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
35,DAY_035,4,Microphones and Placement,Applied practice,Vocal Instrument And Speech Placement — Design and Technique,foundation-to-intermediate,8,Beyond mixers | microphones | stands | mixer | headphones/PPE,"Explain and demonstrate vocal instrument and speech placement through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
36,DAY_036,4,Microphones and Placement,Operations and measurement,Vocal Instrument And Speech Placement — Operations and Measurement,foundation-to-intermediate,8,Beyond mixers | microphones | stands | mixer | headphones/PPE,"Complete a supervised applied lab for vocal instrument and speech placement, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
37,DAY_037,4,Microphones and Placement,Troubleshooting laboratory,Phantom Power Handling Hygiene And Feedback — Troubleshooting and Failure Modes,foundation-to-intermediate,8,Beyond mixers | microphones | stands | mixer | headphones/PPE,"Explain and demonstrate phantom power handling hygiene and feedback through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
38,DAY_038,4,Microphones and Placement,Safety and quality review,"Phantom Power Handling Hygiene And Feedback — Safety, Quality, and Verification",foundation-to-intermediate,8,Beyond mixers | microphones | stands | mixer | headphones/PPE,"Complete a supervised applied lab for phantom power handling hygiene and feedback, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
39,DAY_039,4,Microphones and Placement,Integration and documentation,"Microphones and Placement — Integration, Documentation, and Handover",foundation-to-intermediate,8,Beyond mixers | microphones | stands | mixer | headphones/PPE,"Integrate the four microphones and placement skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
40,DAY_040,4,Microphones and Placement,Assessment and presentation,Microphones and Placement — Assessment Project,foundation-to-intermediate,8,Beyond mixers | microphones | stands | mixer | headphones/PPE,"Plan, execute, verify, present, and safely close an assessment project covering the complete microphones and placement phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
41,DAY_041,5,Mixing Console Fundamentals,Orientation and setup,Channels Buses Matrices And Dca Groups — Foundations and Vocabulary,foundation-to-intermediate,8,Beyond mixers | microphones | Beyond mixer | stagebox | headphones | documentation,"Explain and demonstrate channels buses matrices and DCA groups through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
42,DAY_042,5,Mixing Console Fundamentals,Concept development,Channels Buses Matrices And Dca Groups — Applied Baseline Lab,foundation-to-intermediate,8,Beyond mixers | microphones | Beyond mixer | stagebox | headphones | documentation,"Complete a supervised applied lab for channels buses matrices and DCA groups, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
43,DAY_043,5,Mixing Console Fundamentals,Guided laboratory,Preamps Gain Trim Faders And Metering — Architecture and Components,foundation-to-intermediate,8,Beyond mixers | microphones | Beyond mixer | stagebox | headphones | documentation,"Explain and demonstrate preamps gain trim faders and metering through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
44,DAY_044,5,Mixing Console Fundamentals,Guided laboratory,Preamps Gain Trim Faders And Metering — Configuration Lab,foundation-to-intermediate,8,Beyond mixers | microphones | Beyond mixer | stagebox | headphones | documentation,"Complete a supervised applied lab for preamps gain trim faders and metering, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
45,DAY_045,5,Mixing Console Fundamentals,Applied practice,Routing Patching And Scene Management — Design and Technique,foundation-to-intermediate,8,Beyond mixers | microphones | Beyond mixer | stagebox | headphones | documentation,"Explain and demonstrate routing patching and scene management through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
46,DAY_046,5,Mixing Console Fundamentals,Operations and measurement,Routing Patching And Scene Management — Operations and Measurement,foundation-to-intermediate,8,Beyond mixers | microphones | Beyond mixer | stagebox | headphones | documentation,"Complete a supervised applied lab for routing patching and scene management, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
47,DAY_047,5,Mixing Console Fundamentals,Troubleshooting laboratory,Pfl Afl Solo Mute And Safe Monitoring — Troubleshooting and Failure Modes,foundation-to-intermediate,8,Beyond mixers | microphones | Beyond mixer | stagebox | headphones | documentation,"Explain and demonstrate PFL AFL solo mute and safe monitoring through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
48,DAY_048,5,Mixing Console Fundamentals,Safety and quality review,"Pfl Afl Solo Mute And Safe Monitoring — Safety, Quality, and Verification",foundation-to-intermediate,8,Beyond mixers | microphones | Beyond mixer | stagebox | headphones | documentation,"Complete a supervised applied lab for PFL AFL solo mute and safe monitoring, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
49,DAY_049,5,Mixing Console Fundamentals,Integration and documentation,"Mixing Console Fundamentals — Integration, Documentation, and Handover",foundation-to-intermediate,8,Beyond mixers | microphones | Beyond mixer | stagebox | headphones | documentation,"Integrate the four mixing console fundamentals skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
50,DAY_050,5,Mixing Console Fundamentals,Assessment and presentation,Mixing Console Fundamentals — Assessment Project,foundation-to-intermediate,8,Beyond mixers | microphones | Beyond mixer | stagebox | headphones | documentation,"Plan, execute, verify, present, and safely close an assessment project covering the complete mixing console fundamentals phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
51,DAY_051,6,Gain Structure and Noise Control,Orientation and setup,Source Level Preamp And Headroom — Foundations and Vocabulary,foundation-to-intermediate,8,Beyond mixers | microphones | mixer | signal generator | SPL/multimeter where approved | speakers,"Explain and demonstrate source level preamp and headroom through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
52,DAY_052,6,Gain Structure and Noise Control,Concept development,Source Level Preamp And Headroom — Applied Baseline Lab,foundation-to-intermediate,8,Beyond mixers | microphones | mixer | signal generator | SPL/multimeter where approved | speakers,"Complete a supervised applied lab for source level preamp and headroom, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
53,DAY_053,6,Gain Structure and Noise Control,Guided laboratory,Unity Gain And System Gain Allocation — Architecture and Components,foundation-to-intermediate,8,Beyond mixers | microphones | mixer | signal generator | SPL/multimeter where approved | speakers,"Explain and demonstrate unity gain and system gain allocation through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
54,DAY_054,6,Gain Structure and Noise Control,Guided laboratory,Unity Gain And System Gain Allocation — Configuration Lab,foundation-to-intermediate,8,Beyond mixers | microphones | mixer | signal generator | SPL/multimeter where approved | speakers,"Complete a supervised applied lab for unity gain and system gain allocation, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
55,DAY_055,6,Gain Structure and Noise Control,Applied practice,Noise Hum Buzz And Clipping — Design and Technique,foundation-to-intermediate,8,Beyond mixers | microphones | mixer | signal generator | SPL/multimeter where approved | speakers,"Explain and demonstrate noise hum buzz and clipping through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
56,DAY_056,6,Gain Structure and Noise Control,Operations and measurement,Noise Hum Buzz And Clipping — Operations and Measurement,foundation-to-intermediate,8,Beyond mixers | microphones | mixer | signal generator | SPL/multimeter where approved | speakers,"Complete a supervised applied lab for noise hum buzz and clipping, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
57,DAY_057,6,Gain Structure and Noise Control,Troubleshooting laboratory,Measurement Repeatability And Safe Maximums — Troubleshooting and Failure Modes,foundation-to-intermediate,8,Beyond mixers | microphones | mixer | signal generator | SPL/multimeter where approved | speakers,"Explain and demonstrate measurement repeatability and safe maximums through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
58,DAY_058,6,Gain Structure and Noise Control,Safety and quality review,"Measurement Repeatability And Safe Maximums — Safety, Quality, and Verification",foundation-to-intermediate,8,Beyond mixers | microphones | mixer | signal generator | SPL/multimeter where approved | speakers,"Complete a supervised applied lab for measurement repeatability and safe maximums, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
59,DAY_059,6,Gain Structure and Noise Control,Integration and documentation,"Gain Structure and Noise Control — Integration, Documentation, and Handover",foundation-to-intermediate,8,Beyond mixers | microphones | mixer | signal generator | SPL/multimeter where approved | speakers,"Integrate the four gain structure and noise control skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
60,DAY_060,6,Gain Structure and Noise Control,Assessment and presentation,Gain Structure and Noise Control — Assessment Project,foundation-to-intermediate,8,Beyond mixers | microphones | mixer | signal generator | SPL/multimeter where approved | speakers,"Plan, execute, verify, present, and safely close an assessment project covering the complete gain structure and noise control phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
61,DAY_061,7,Equalization and Filters,Orientation and setup,High-Pass Low-Pass And Shelving — Foundations and Vocabulary,foundation-to-intermediate,8,Beyond mixers | microphones | digital mixer | RTA software | headphones,"Explain and demonstrate high-pass low-pass and shelving through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
62,DAY_062,7,Equalization and Filters,Concept development,High-Pass Low-Pass And Shelving — Applied Baseline Lab,foundation-to-intermediate,8,Beyond mixers | microphones | digital mixer | RTA software | headphones,"Complete a supervised applied lab for high-pass low-pass and shelving, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
63,DAY_063,7,Equalization and Filters,Guided laboratory,Parametric Eq Frequency Gain And Q — Architecture and Components,foundation-to-intermediate,8,Beyond mixers | microphones | digital mixer | RTA software | headphones,"Explain and demonstrate parametric EQ frequency gain and Q through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
64,DAY_064,7,Equalization and Filters,Guided laboratory,Parametric Eq Frequency Gain And Q — Configuration Lab,foundation-to-intermediate,8,Beyond mixers | microphones | digital mixer | RTA software | headphones,"Complete a supervised applied lab for parametric EQ frequency gain and Q, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
65,DAY_065,7,Equalization and Filters,Applied practice,Corrective Versus Creative Eq — Design and Technique,foundation-to-intermediate,8,Beyond mixers | microphones | digital mixer | RTA software | headphones,"Explain and demonstrate corrective versus creative EQ through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
66,DAY_066,7,Equalization and Filters,Operations and measurement,Corrective Versus Creative Eq — Operations and Measurement,foundation-to-intermediate,8,Beyond mixers | microphones | digital mixer | RTA software | headphones,"Complete a supervised applied lab for corrective versus creative EQ, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
67,DAY_067,7,Equalization and Filters,Troubleshooting laboratory,Measurement Listening And Over-Eq Risks — Troubleshooting and Failure Modes,foundation-to-intermediate,8,Beyond mixers | microphones | digital mixer | RTA software | headphones,"Explain and demonstrate measurement listening and over-EQ risks through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
68,DAY_068,7,Equalization and Filters,Safety and quality review,"Measurement Listening And Over-Eq Risks — Safety, Quality, and Verification",foundation-to-intermediate,8,Beyond mixers | microphones | digital mixer | RTA software | headphones,"Complete a supervised applied lab for measurement listening and over-EQ risks, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
69,DAY_069,7,Equalization and Filters,Integration and documentation,"Equalization and Filters — Integration, Documentation, and Handover",foundation-to-intermediate,8,Beyond mixers | microphones | digital mixer | RTA software | headphones,"Integrate the four equalization and filters skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
70,DAY_070,7,Equalization and Filters,Assessment and presentation,Equalization and Filters — Assessment Project,foundation-to-intermediate,8,Beyond mixers | microphones | digital mixer | RTA software | headphones,"Plan, execute, verify, present, and safely close an assessment project covering the complete equalization and filters phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
71,DAY_071,8,Dynamics Processing,Orientation and setup,Compressor Threshold Ratio Attack Release — Foundations and Vocabulary,foundation-to-intermediate,8,Beyond mixers | microphones | digital mixer | audio playback | measurement software | speakers,"Explain and demonstrate compressor threshold ratio attack release through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
72,DAY_072,8,Dynamics Processing,Concept development,Compressor Threshold Ratio Attack Release — Applied Baseline Lab,foundation-to-intermediate,8,Beyond mixers | microphones | digital mixer | audio playback | measurement software | speakers,"Complete a supervised applied lab for compressor threshold ratio attack release, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
73,DAY_073,8,Dynamics Processing,Guided laboratory,Gates Expanders And Noise Control — Architecture and Components,foundation-to-intermediate,8,Beyond mixers | microphones | digital mixer | audio playback | measurement software | speakers,"Explain and demonstrate gates expanders and noise control through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
74,DAY_074,8,Dynamics Processing,Guided laboratory,Gates Expanders And Noise Control — Configuration Lab,foundation-to-intermediate,8,Beyond mixers | microphones | digital mixer | audio playback | measurement software | speakers,"Complete a supervised applied lab for gates expanders and noise control, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
